Kennziffer|Stadt|Bezirk
09161|Ingolstadt|Oberbayern
09162|München|Oberbayern
09163|Rosenheim|Oberbayern
09261|Landshut|Niederbayern
09262|Passau|Niederbayern
09263|Straubing|Niederbayern
09361|Amberg|Oberpfalz
09362|Regensburg|Oberpfalz
09363|Weiden i.d.OPf.|Oberpfalz
09461|Bamberg|Oberfranken
09462|Bayreuth|Oberfranken
09463|Coburg|Oberfranken
09464|Hof|Oberfranken
09561|Ansbach|Mittelfranken
09562|Erlangen|Mittelfranken
09563|Fürth|Mittelfranken
09564|Nürnberg|Mittelfranken
09565|Schwabach|Mittelfranken
09661|Aschaffenburg|Unterfranken
09662|Schweinfurt|Unterfranken
09663|Würzburg|Unterfranken
09761|Augsburg|Schwaben
09762|Kaufbeuren|Schwaben
09763|Kempten (Allgäu)|Schwaben
09764|Memmingen|Schwaben